economy,item,unit,item_code_new,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
03_CDA,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,11571,11183,9288,8676,9559,11235,11687,13892,13268,13000,11700,9400,5700,6670,10600,10440,11587,12015,12124,12604,12612,12986,13710,13424,14017,14179.4,14335.5,15077.6,13672.4,10985,12431,12001,12465,11612,11879,12167,11948.6,,
04_CHL,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,1745,2054,1248,1389,1354,1570,1580,1757,2021,1900,2120,2250,2650,2600,2600,3275,3634,3735,3888,3300,3377,3513,3462,3622,3798,3999.122,4111.533,4439.967,4622.329,3876,3871,4406,4722,4800,5000,4800,5065.4,,
05_PRC,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,88030,92594,103697,119325,133468,157100,178000,198000,224000,228000,210000,253000,308000,368000,400000,475910,491190,511730,536000,573000,597000,661040,725000,862080,933690,1068850,1236770,1361170,1400000,1644000,1822000,2099000,2210000,2416000,2492000,2350000,2400000,2320000,2370000
06_HKC,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,1641,1673,1582,1892,2037,2023,2465,2454,2413,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07_INA,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,6417,7596,8268,9025,11795,11112,12060,13055,13495,15541,13800,16200,17300,18900,19000,23129,24646,27505,22341,23925,27789,31300,34640,35000,36000,33917,35000,36000,36000,36910,39480,45238,51000,56000,58000,58000,63000,65000,67000
08_JPN,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,96957,93506,88943,89167,86918,80300,78555,78871,85489,89600,84400,89600,88300,88000,91500,90474,94492,91938,81328,80120,81097,76550,71828,68766,67369,69629,69942,67685,62810,54800,51526,51291,54737,57400,57913,54800,53300,55200,55500
09_ROK,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,17209,17215,19717,23459,22501,22514,25797,28287,31961,33592,33600,35000,44400,47300,52100,55130,58434,60317,46091,48157,51255,52046,55514,59194,53900,51391,53971,52182,51653,50126,47420,48249,47087,47291,47048,51700,57000,56500,56000
10_MAS,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,2589,3123,3443,3562,3671,3448,3934,3655,4161,5284,5880,7450,8370,8800,9970,10713,12349,12668,10397,10105,11445,13820,14336,17243,18000,17860,18400,19480,19629,19457,19762,21198,21726,21457,21700,22000,22089.6,,
11_MEX,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,17905,19817,21272,18814,19842,22796,21772,24633,24816,25900,23800,25100,26900,27100,29700,24043,25366,27548,27744,29413,33228,32110,33372,33593,34992,37451.616,40362,38757,37139,35160,34503,35400,36184,34612,36597,39613,39132.9,,
12_NZ,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,794,837,861,838,907,1069,999,970,990,1050,750,576,579,600,605,950,974,976,975,975,1070,1080,1090,1100,1110,1100,1120,1100,1100,1200,1100,1200,1200,1200,1100,1200,1150,,
