Economy,Year,GDP,Population,GDPpercap,lnGDPpercap
PRC,2023,7715.718978838209,1452127.674,0.005313388841068399,-5.237525447466636
HKC,2023,4.411356168963801,7653.424,0.0005763898836604114,-7.458726244894364
INA,2023,740.9193772978059,281844.348,0.0026288246777182345,-5.94121842327926
JPN,2023,1072.6999718981401,125081.316,0.008576020833504342,-4.7587852453767505
KOR,2023,618.908907437461,51343.973,0.012054168605874365,-4.418344736473534
MAS,2023,222.038521903654,33579.264,0.0066123701193586005,-5.018813123675519
MEX,2023,441.61005593554495,132833.768,0.003324531574949714,-5.70642649451317
NZ,2023,21.7441383715842,4934.976,0.0044061284941576614,-5.42475886757792
PNG,2023,0.9092394907144132,9466.431,9.604881614986823e-05,-9.250653994178418
PE,2023,58.3607078026599,33966.046,0.0017182072886158105,-6.366473805762674
RP,2023,207.96164662507,113964.103,0.0018247995741700349,-6.306285120351184
RUS,2023,499.9442624553839,145628.574,0.0034330093931660964,-5.674318028371061
SIN,2023,116.161681403601,5990.29199999999,0.0193916559332335,-3.9429124119695564
CT,2023,452.8164184953,23917.88,0.018932130209504353,-3.966894789214885
THA,2023,358.10798469639104,70182.829,0.005102501420915806,-5.278024384805878
USA,2023,2286.02377440014,336679.231,0.006789916228601995,-4.992316674954209
VN,2023,150.420369710989,99698.631,0.0015087506037168054,-6.4964733854089145
AUS,2024,76.1190221729488,26612.912,0.0028602289810656122,-5.856853594045617
BD,2024,4.1123640912971,452.767,0.009082738122029874,-4.701379576537959
CDA,2024,195.26506962248,39017.093,0.005004603229217513,-5.297397144238989
CHL,2024,48.76305959431539,19238.997,0.0025345946877748044,-5.977721541201563
PRC,2024,7996.5693991404505,1455254.862,0.005494961472350299,-5.203923702552352
HKC,2024,4.4760320767732695,7703.193,0.0005810619150751214,-7.450653240395801
INA,2024,770.152585281436,284495.157,0.0027070850463772078,-5.911882851637274
JPN,2024,1080.8601649066302,124543.923,0.008678546001049206,-4.746901275741341
KOR,2024,637.091344770905,51347.169,0.012407526202095096,-4.389452038710018
MAS,2024,230.007781601091,33969.292,0.006771050206200677,-4.995099077619001
MEX,2024,453.449279216495,134074.37900000002,0.0033820725674701423,-5.689266571766655
NZ,2024,22.3931712162816,4971.047000000001,0.004504719270665032,-5.402629704921206
PNG,2024,0.983635957356635,9641.706,0.00010201887066009221,-9.190352755320097
PE,2024,60.49074735706301,34236.195,0.0017668653703211763,-6.338548279650166
RP,2024,218.881448589682,115406.85,0.00189660707825993,-6.2676887374431915
RUS,2024,510.64449555835296,145399.122,0.0035120191135566345,-5.651564160867403
SIN,2024,118.78966122112,6035.675,0.01968125540575329,-3.928088598449837
CT,2024,463.759873019282,23943.319,0.01936907214155573,-3.944077704540416
THA,2024,369.34947465619103,70266.064,0.005256441781856332,-5.248300948467473
USA,2024,2316.5114650872893,338542.56200000003,0.006842600385021275,-4.9845874463464925
VN,2024,158.000029979843,100414.087,0.0015734847041913849,-6.454462562389561
AUS,2025,77.7364664168888,26879.753,0.0028920082121620984,-5.8458041350762
BD,2025,4.1573932338507795,456.182,0.009113453038153148,-4.698003601310517
CDA,2025,198.64239295419398,39326.964,0.005051048256717553,-5.288159481648066
CHL,2025,49.6449574264444,19240.995,0.0025801658088079335,-5.959901615133826
PRC,2025,8273.159850303442,1457908.248,0.005674677992701392,-5.171741458598728
HKC,2025,4.54944480691668,7755.536,0.0005866061103857529,-7.441156984861209
INA,2025,800.0788219109378,287089.641,0.0027868606443760113,-5.8828395337504045
JPN,2025,1090.4460931415301,123975.981,0.008795623832502928,-4.733500972949564
KOR,2025,655.0876854198771,51339.378,0.01275994589221313,-4.3614442414966526
MAS,2025,238.46542305173003,34349.933,0.006942238375013134,-4.970131024043183
MEX,2025,465.68601511901306,135284.064,0.003442282862813857,-5.671620404786139
NZ,2025,23.0527234530438,5006.449000000001,0.004604605670215315,-5.380698243730683
PNG,2025,1.06028124234117,9817.917,0.00010799452086844593,-9.133430064826577
PE,2025,62.6125225230539,34517.501000000004,0.0018139355604872406,-6.312256451356085
RP,2025,229.97210568451092,116833.055,0.001968382198723734,-6.230543292539185
RUS,2025,519.1877167251952,145132.732,0.0035773302794658013,-5.633138488758739
SIN,2025,121.34951491194904,6078.76,0.019962873170177642,-3.913881072056423
CT,2025,474.991092018519,23965.154,0.019820072594506133,-3.9210600873974903
THA,2025,381.2717450694471,70328.932,0.0054212645383189826,-5.217426181090098
USA,2025,2348.7502565086497,340399.604,0.006899979403350451,-4.976236852405052
VN,2025,165.90246273736705,101106.833,0.0016408630140493773,-6.412532947476582
AUS,2026,79.39321138326069,27144.224,0.00292486576088013,-5.834506693067661
BD,2026,4.18368848214285,459.465,0.009105565129319645,-4.698869499708975
CDA,2026,202.13003886301502,39634.342,0.005099871189056577,-5.2785399966185516
CHL,2026,50.5244850562197,19260.477,0.0026232208608447083,-5.943352380023893
PRC,2026,8544.43606459255,1460092.251,0.005851983707701049,-5.140974579884689
HKC,2026,4.6111712726517196,7811.205,0.0005903277756315088,-7.434832623408533
INA,2026,830.713466887478,289628.16,0.002868206830742833,-5.854068242128579
JPN,2026,1101.2460214482398,123379.107,0.008925709127139653,-4.718819500451488
KOR,2026,672.9670614754899,51321.217,0.013112843007512661,-4.33416314678297
MAS,2026,247.09810703085603,34720.334,0.007116812500445878,-4.945295336319638
MEX,2026,478.289695018072,136462.077,0.0035049275632677936,-5.653585425394508
NZ,2026,23.725733537577,5041.237,0.004706331707391856,-5.358846505102374
PNG,2026,1.14533847716729,9994.969,0.00011459149869972485,-9.074136938811158
PE,2026,64.72605692230951,34814.66,0.0018591609661651012,-6.287629986489912
RP,2026,241.22998555509602,118241.483,0.002040146820173898,-6.194733503042297
RUS,2026,530.022740354661,144834.096,0.0036595163362269406,-5.610424288873128
SIN,2026,124.11160737662901,6119.58599999999,0.02028104636108214,-3.8980685058760582
CT,2026,485.7029630695071,23983.359,0.02025166545976763,-3.899518243884721
THA,2026,393.8597734734771,70371.63900000001,0.005596853776184992,-5.185550664805471
USA,2026,2382.35137755436,342251.975,0.0069608111905106185,-4.967459261066553
VN,2026,174.128395657767,101778.646,0.0017108539217329242,-6.370762663676532
AUS,2027,81.08320338556851,27406.327,0.0029585578317579187,-5.823053348376615
BD,2027,4.209452087454132,462.584,0.009099865294636501,-4.699495668356093
CDA,2027,205.746704756047,39939.039,0.005151518662130228,-5.268463721926249
CHL,2027,51.40448517470801,19292.754,0.002664445168103424,-5.927759435120576
PRC,2027,8809.823973623428,1461797.638,0.006026705574430151,-5.11155475677285
HKC,2027,4.68150059274954,7868.72,0.0005949507153322955,-7.427031987223645
INA,2027,862.036077232096,292109.442,0.00295107228075187,-5.825586689674444
JPN,2027,1112.95218547981,122754.999,0.00906645101662874,-4.703174379561815
KOR,2027,690.6850643071167,51293.519,0.013465347626219927,-4.307635736028439
MAS,2027,255.900955178126,35080.109,0.007294759408476354,-4.920599077883485
MEX,2027,491.26874379588713,137608.574,0.003570044580186458,-5.6351771958213694
NZ,2027,24.4141050584455,5075.413,0.004810269638834417,-5.337002138465923
PNG,2027,1.23606658318312,10172.751,0.00012150760233717702,-9.01553372646478
PE,2027,66.83137416601971,35119.951,0.0019029461107738935,-6.264352009106979
RP,2027,252.93991254475102,119632.644,0.002114305126824339,-6.159029065703425
RUS,2027,538.6852305247198,144502.582,0.0037278588594681296,-5.591921242460214
SIN,2027,126.535787895547,6158.533,0.020546417124913837,-3.885068702393085
CT,2027,496.597517760052,23997.588,0.020693642951118755,-3.8779287296875338
THA,2027,406.68206002731597,70394.102,0.005777217813323565,-5.153833059358445
USA,2027,2417.0387909915803,344100.699,0.007024219357925745,-4.9583911933639335
VN,2027,182.990295680197,102425.785,0.0017865647373871431,-6.32746064416483
AUS,2028,82.80942493377489,27666.064,0.0029931769453643603,-5.811419932124911
BD,2028,4.21697158404481,465.548,0.009058081194731392,-4.704097970018629
CDA,2028,209.49366365963002,40240.809,0.005206000298344648,-5.257943415101919
CHL,2028,52.28431563545361,19337.99,0.002703709932389747,-5.913130400080138
PRC,2028,9069.00957702565,1463052.846,0.006198688995971955,-5.083417461552861
HKC,2028,4.7502768273619305,7925.075,0.0005993983435313774,-7.419584166630112
INA,2028,894.0653333668979,294532.571,0.0030355397718199997,-5.797366021249344
JPN,2028,1125.3750140671102,122107.379,0.009216273605112024,-4.686784487414593
KOR,2028,708.2336308229062,51256.2709999999,0.013817502073510334,-4.281819224192794
MAS,2028,264.869162319237,35429.092000000004,0.007476035861128954,-4.896052592566597
MEX,2028,504.614970968114,138725.066,0.0036375183340558947,-5.616453606206948
NZ,2028,25.1190543775283,5108.863,0.004916760221898356,-5.315105456862735
PNG,2028,1.3326848314713702,10351.151,0.00012874750174848867,-8.957657422503921
PE,2028,69.07673108376851,35429.212,0.0019497111898443722,-6.240074025147638
RP,2028,265.093786288806,121006.009,0.002190748942796766,-6.123511810604367
RUS,2028,547.4037512998269,144142.094,0.003797667538393239,-5.573368206391618
SIN,2028,129.15883913051098,6195.443,0.020847393661843225,-3.870526342779149
CT,2028,506.881647626747,24007.365,0.021113589418361698,-3.8578383975466046
