Economy,Year,GDP,SteelProduction,Population,GDPpercap,PROpercap,lnGDPpercap,lnPROpercap
CT,1990,49.2231369746331,9.75,20478.516,0.0024036476556520553,0.0004761087180340607,-6.030767838919532,-7.649864330580768
THA,1990,109.25662550147601,0.69,56558.196,0.0019317558413899198,1.2199823346557941e-05,-6.249325927270116,-11.314089086120228
USA,1990,1626.3943182114099,89.73,252120.309,0.00645086595626618,0.00035590151525635326,-5.043540900400638,-7.940856507923183
VN,1990,13.9426996517081,0.1,67988.855,0.00020507331167303965,1.4708292998904013e-06,-8.492143024838645,-13.429684166660875
AUS,1991,67.05621310472829,6.14,17189.235,0.003901058604686496,0.0003572003058891219,-5.546507325579819,-7.937213852609772
BD,1991,2.36968393923605,1.0,266.208,0.00890162556811234,0.003756461113114557,-4.721521370819667,-5.584277958101477
CDA,1991,141.45169872428298,12.99,27888.813,0.005071987062492871,0.00046577815986646693,-5.284022612620799,-7.671801088975953
CHL,1991,26.05435827647291,0.81,13495.255,0.001930631045984156,6.0021096303849024e-05,-6.249908362676179,-9.720814452476597
PRC,1991,560.07949574167,71.0,1192897.277,0.00046951192406961123,5.951895554540695e-05,-7.663816862259101,-9.729215715553638
HKC,1991,7.976771047541421,0.15,5800.04,0.0013752958682252917,2.586189060765098e-05,-6.589086394119708,-10.562740077948336
INA,1991,184.19642927074295,3.09,184591.897,0.0009978576105685883,1.6739629692412772e-05,-6.909899966612799,-10.997731614269917
JPN,1991,962.302011045954,109.65,124929.764,0.007702744167882636,0.0008776931652572401,-4.866178628173402,-7.038213495502321
KOR,1991,145.86134598993598,26.0,43373.148,0.0033629411909399795,0.0005994492260511042,-5.694939333459873,-7.419499280909778
MAS,1991,52.017545470986605,1.13,18519.941000000006,0.002808731705516048,6.1015313169734155e-05,-5.875022247875872,-9.704385689725706
MEX,1991,247.65744520185902,7.96,85512.621,0.002896150793949574,9.308567445266354e-05,-5.844372736080279,-9.281990258209769
NZ,1991,16.0559118442742,0.81,3446.171,0.004659058370659552,0.00023504347288628454,-5.368941917644815,-8.355740069923375
PNG,1991,1.18092980379377,1.0,4725.543,0.0002499035145365877,0.0002116158926074739,-8.294435656450402,-8.460737753959894
PE,1991,19.1206943377758,0.4,22522.383,0.0008489640877599763,1.7760110020329553e-05,-7.071493672005788,-10.938555625581062
RP,1991,63.94847417796711,0.61,63454.785,0.0010077801725743316,9.61314422545124e-06,-6.900005215880024,-11.552379205825426
RUS,1991,464.54932688712495,67.03,147995.584,0.003138940462487887,0.0004529189195266799,-5.763869968333772,-7.699797434093391
SIN,1991,30.944103421427805,0.51,3101.144,0.009978286536009875,0.00016445543967000565,-4.6073438931777115,-8.712870907919411
CT,1991,52.05551855444681,10.97,20679.072,0.002517304381668907,0.0005304880218996288,-5.9845666397992,-7.541713179053684
THA,1991,123.130485534221,0.71,57232.471,0.0021514095649342313,1.2405545096943307e-05,-6.141632040064645,-11.29736700007344
USA,1991,1624.6335982742098,79.74,254539.371,0.0063826416789338645,0.00031327177279777277,-5.05417321106385,-8.068439460465395
VN,1991,15.794948516719995,0.18,69436.9559999999,0.00022747178774253896,2.592279534834451e-06,-8.388484337186041,-12.862972940059784
AUS,1992,67.3919813267953,6.8,17402.179,0.003872617407670344,0.0003907556634143345,-5.5538246678190015,-7.847428095065009
BD,1992,2.56788140681116,1.0,273.888,0.00937566233939114,0.003651127468162169,-4.669638060086169,-5.612719263699199
CDA,1992,142.725131178058,13.83,28224.41,0.005056797686047574,0.0004900013853256809,-5.287021864398527,-7.621102339668331
CHL,1992,28.828199929526004,1.01,13719.818,0.002101208626056556,7.361613689044564e-05,-6.165242563592801,-9.5166463050326
PRC,1992,639.7013130525601,80.94,1206711.243,0.0005301196261851353,6.707487020571333e-05,-7.542407867103453,-9.609701096716504
