Economy,Year,SteelProduction
HKC,2004,1.0
INA,2004,3.68
JPN,2004,112.72
KOR,2004,47.52
MAS,2004,5.7
MEX,2004,16.74
NZ,2004,0.89
PNG,2004,1.0
PE,2004,0.73
RP,2004,0.4
RUS,2004,65.58
SIN,2004,0.61
CT,2004,19.6
THA,2004,4.53
USA,2004,99.68
VN,2004,0.69
AUS,2005,7.76
BD,2005,1.0
CDA,2005,15.33
CHL,2005,1.54
PRC,2005,355.79
HKC,2005,1.0
INA,2005,3.68
JPN,2005,112.47
KOR,2005,47.82
MAS,2005,5.3
MEX,2005,16.2
NZ,2005,0.89
PNG,2005,1.0
PE,2005,0.79
RP,2005,0.47
RUS,2005,66.15
SIN,2005,0.57
CT,2005,18.94
THA,2005,5.16
USA,2005,94.9
VN,2005,0.89
AUS,2006,7.88
BD,2006,1.0
CDA,2006,15.49
CHL,2006,1.61
PRC,2006,421.02
HKC,2006,1.0
INA,2006,3.76
JPN,2006,116.23
KOR,2006,48.46
MAS,2006,5.83
MEX,2006,16.45
NZ,2006,0.81
PNG,2006,1.0
PE,2006,0.9
RP,2006,0.56
RUS,2006,70.83
SIN,2006,0.61
CT,2006,20.0
THA,2006,4.91
USA,2006,98.19
VN,2006,1.87
AUS,2007,7.94
BD,2007,1.0
CDA,2007,15.57
CHL,2007,1.68
PRC,2007,489.71
HKC,2007,1.0
INA,2007,4.16
JPN,2007,120.2
KOR,2007,51.52
MAS,2007,6.9
MEX,2007,17.57
NZ,2007,0.85
PNG,2007,1.0
PE,2007,0.88
RP,2007,0.72
RUS,2007,72.39
SIN,2007,0.64
CT,2007,20.9
THA,2007,5.57
USA,2007,98.1
VN,2007,2.02
AUS,2008,7.63
BD,2008,1.0
CDA,2008,14.95
CHL,2008,1.55
PRC,2008,512.34
HKC,2008,1.0
INA,2008,3.92
JPN,2008,118.74
KOR,2008,53.63
MAS,2008,6.42
MEX,2008,17.21
NZ,2008,0.8
PNG,2008,1.0
PE,2008,1.1
RP,2008,0.71
RUS,2008,68.51
SIN,2008,0.76
CT,2008,19.88
THA,2008,5.21
USA,2008,91.9
VN,2008,2.25
AUS,2009,5.25
BD,2009,1.0
CDA,2009,9.29
CHL,2009,1.31
PRC,2009,577.07
HKC,2009,1.0
INA,2009,3.5
JPN,2009,87.53
KOR,2009,48.57
MAS,2009,5.35
MEX,2009,14.13
NZ,2009,0.77
PNG,2009,1.0
PE,2009,0.72
RP,2009,0.82
RUS,2009,60.01
SIN,2009,0.66
CT,2009,15.81
THA,2009,3.65
USA,2009,59.38
VN,2009,2.7
AUS,2010,7.3
BD,2010,1.0
CDA,2010,13.01
CHL,2010,1.01
PRC,2010,638.74
HKC,2010,1.0
INA,2010,3.66
JPN,2010,109.6
KOR,2010,58.91
MAS,2010,5.69
MEX,2010,16.87
NZ,2010,0.85
PNG,2010,1.0
PE,2010,0.88
RP,2010,1.05
RUS,2010,66.94
SIN,2010,0.73
CT,2010,19.76
THA,2010,4.15
USA,2010,80.5
VN,2010,4.31
AUS,2011,6.4
BD,2011,1.0
CDA,2011,12.89
CHL,2011,1.62
PRC,2011,701.97
HKC,2011,1.0
INA,2011,3.62
JPN,2011,107.6
KOR,2011,68.52
MAS,2011,5.94
MEX,2011,18.11
NZ,2011,0.84
PNG,2011,1.0
PE,2011,0.88
RP,2011,1.2
RUS,2011,68.85
SIN,2011,0.75
CT,2011,20.18
THA,2011,4.24
USA,2011,86.4
VN,2011,4.9
AUS,2012,4.89
BD,2012,1.0
CDA,2012,13.51
CHL,2012,1.67
PRC,2012,731.04
HKC,2012,1.0
INA,2012,2.25
JPN,2012,107.23
KOR,2012,69.07
MAS,2012,5.61
MEX,2012,18.07
NZ,2012,0.91
PNG,2012,1.0
PE,2012,0.98
RP,2012,1.26
RUS,2012,70.21
SIN,2012,0.69
CT,2012,20.66
THA,2012,3.33
USA,2012,88.7
VN,2012,5.3
AUS,2013,4.69
BD,2013,1.0
CDA,2013,12.42
CHL,2013,1.32
PRC,2013,822.0
HKC,2013,1.0
INA,2013,2.64
JPN,2013,110.6
KOR,2013,66.06
MAS,2013,4.69
MEX,2013,18.24
NZ,2013,0.9
PNG,2013,1.0
PE,2013,1.07
RP,2013,1.31
RUS,2013,69.01
SIN,2013,0.43
CT,2013,22.28
THA,2013,3.58
USA,2013,86.88
VN,2013,5.47
AUS,2014,4.61
BD,2014,1.0
CDA,2014,12.73
CHL,2014,1.08
PRC,2014,822.31
HKC,2014,1.0
INA,2014,4.43
JPN,2014,110.67
KOR,2014,71.54
MAS,2014,4.32
MEX,2014,18.93
NZ,2014,0.86
PNG,2014,1.0
PE,2014,1.08
RP,2014,1.2
RUS,2014,71.46
SIN,2014,0.54
CT,2014,23.12
THA,2014,4.1
USA,2014,88.17
VN,2014,5.85
AUS,2015,4.93
BD,2015,1.0
CDA,2015,12.47
CHL,2015,1.11
PRC,2015,803.83
HKC,2015,1.0
INA,2015,4.85
JPN,2015,105.13
KOR,2015,69.67
MAS,2015,3.78
MEX,2015,18.22
NZ,2015,0.79
PNG,2015,1.0
PE,2015,1.08
RP,2015,0.97
RUS,2015,70.9
SIN,2015,0.5
CT,2015,21.39
THA,2015,3.72
USA,2015,78.85
VN,2015,5.65
AUS,2016,5.26
BD,2016,1.0
CDA,2016,12.65
CHL,2016,1.15
PRC,2016,807.61
HKC,2016,1.0
INA,2016,4.75
JPN,2016,104.78
KOR,2016,68.58
MAS,2016,2.76
MEX,2016,18.82
NZ,2016,0.58
PNG,2016,1.0
PE,2016,1.17
RP,2016,1.08
RUS,2016,70.45
SIN,2016,0.52
CT,2016,21.75
THA,2016,3.83
USA,2016,78.48
VN,2016,7.81
AUS,2017,5.33
BD,2017,1.0
CDA,2017,13.21
CHL,2017,1.16
PRC,2017,870.85
HKC,2017,1.0
INA,2017,5.2
JPN,2017,104.66
KOR,2017,71.03
MAS,2017,3.21
MEX,2017,19.95
NZ,2017,0.66
PNG,2017,1.0
PE,2017,1.21
RP,2017,1.38
RUS,2017,71.49
SIN,2017,0.6
CT,2017,22.44
THA,2017,6.76
USA,2017,81.61
VN,2017,11.47
AUS,2018,5.69
BD,2018,1.0
CDA,2018,13.44
CHL,2018,1.15
PRC,2018,928.26
HKC,2018,1.0
INA,2018,6.18
JPN,2018,104.32
KOR,2018,72.46
MAS,2018,4.11
MEX,2018,20.2
NZ,2018,0.65
PNG,2018,1.0
PE,2018,1.22
RP,2018,1.47
RUS,2018,72.04
SIN,2018,0.62
