Economy,Year,GDP,SteelProduction,Population
CHL,2017,45.55385478635179,1.16,18470.435
PRC,2017,5748.476430146558,870.85,1421021.794
HKC,2017,4.541180022718001,1.0,7306.315
INA,2017,583.4563541262089,5.2,264650.969
JPN,2017,1072.21021966882,104.66,127502.728
KOR,2017,547.3378479359919,71.03,51096.407999999996
MAS,2017,181.166524804306,3.21,31104.655
MEX,2017,426.30523303747896,19.95,124777.326
NZ,2017,19.610731604334198,0.66,4702.029
PNG,2017,0.7145830865843521,1.0,8438.038
PE,2017,51.00902926061371,1.21,31444.299
RP,2017,158.64699438076505,1.38,105172.921
RUS,2017,467.875664318225,71.49,145530.091
SIN,2017,99.53374892556559,0.6,5708.04199999999
CT,2017,402.32943738069804,22.44,23674.546000000002
THA,2017,328.6591915070989,6.76,69209.817
USA,2017,2173.31953535193,81.61,325084.75800000003
VN,2017,103.780917181563,11.47,94600.64300000001
AUS,2018,71.53742809939659,5.69,24898.153
BD,2018,3.6437576520279498,1.0,428.96
CDA,2018,186.894714855781,13.44,37074.558
CHL,2018,47.989496396635104,1.15,18729.166
PRC,2018,6149.266676886739,928.26,1427647.789
HKC,2018,4.453509802315691,1.0,7371.728
INA,2018,604.5032408445388,6.18,267670.549
JPN,2018,1080.6641241453399,104.32,127202.19
KOR,2018,554.9295308677749,72.46,51171.7
MAS,2018,187.218343305812,4.11,31528.033
MEX,2018,437.0147299329921,20.2,126190.78199999999
NZ,2018,20.1546491719537,0.65,4743.130999999989
PNG,2018,0.7087179726978919,1.0,8606.324
PE,2018,52.912262658717395,1.22,31989.265
RP,2018,165.075930994092,1.47,106651.394
RUS,2018,481.90894084450105,72.04,145734.034
SIN,2018,113.249475914111,0.62,5757.503000000001
CT,2018,429.8248303700231,23.24,23726.46
THA,2018,337.17433427188496,6.4,69428.454
USA,2018,2236.93961206694,86.61,327096.26300000004
VN,2018,115.943738676738,15.47,95545.959
