Economy,Year,GDP,SteelProduction,Population
USA,1992,1681.8603825094594,84.32,256990.608
VN,1992,20.1605215156926,0.22,70883.488
AUS,1993,71.7447450237258,7.85,17603.211
BD,1993,2.45136161494037,1.0,281.684
CDA,1993,146.522842217822,14.39,28547.964
CHL,1993,31.187582018489397,1.07,13944.934
PRC,1993,728.4123789149229,89.56,1218817.0590000001
HKC,1993,8.99959926207041,0.15,5928.33599999999
INA,1993,222.351165967587,3.8,190851.18399999998
JPN,1993,965.4367811860491,99.62,125707.40699999999
KOR,1993,161.496099726527,33.03,44335.037000000004
MAS,1993,63.16010345492611,1.81,19484.901
MEX,1993,251.05939406716297,9.2,88625.44
NZ,1993,17.3402907001033,0.85,3564.473
PNG,1993,1.40211502329633,1.0,4949.053
PE,1993,20.0699553079053,0.42,23408.135
RP,1993,61.367532218468114,0.62,66593.90400000001
RUS,1993,362.62728761500006,58.35,148373.584
SIN,1993,35.3539156327069,0.52,3305.801
CT,1993,55.948905149032896,11.97,21044.7
THA,1993,134.717448642274,0.95,58337.773
USA,1993,1728.1593806354,88.79,259532.13
VN,1993,21.469202985557498,0.27,72300.308
AUS,1994,76.5261776372653,8.42,17798.526
BD,1994,2.4755046999953096,1.0,289.452
CDA,1994,153.108261861854,13.88,28860.734
CHL,1994,32.7009559522352,1.04,14166.346000000001
PRC,1994,823.485918763312,92.61,1230020.02599999
HKC,1994,9.54282282967652,0.15,5999.619000000001
INA,1994,250.29861363267003,3.22,193917.458
JPN,1994,975.024209118941,98.3,126053.127
KOR,1994,181.232690713144,33.75,44820.07
MAS,1994,70.87974472694441,2.05,19977.508
MEX,1994,252.20293692462997,10.26,90156.396
NZ,1994,18.753010093335604,0.77,3623.272
PNG,1994,1.3464191570547699,1.0,5065.664000000001
PE,1994,22.2761558789477,0.51,23851.405
RP,1994,62.8494952057593,0.47,68180.8459999999
RUS,1994,317.045922445932,48.81,148349.443
SIN,1994,37.9177030236948,0.53,3415.7009999999896
CT,1994,59.8752202294425,11.59,21207.424
THA,1994,144.007712480827,1.46,58875.275
USA,1994,1797.78414084273,91.24,262241.20399999997
VN,1994,22.972634058649398,0.3,73651.22
AUS,1995,78.9761735053353,8.46,17993.083
