economy,item,unit,item_code_new,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
01_AUS,8th_food_beverage_tobacco_production_projection,GVA millions USD,14_8_food_beverages_and_tobacco,26876.34551,27145.1089651,25955.531569433315,26601.080742426966,27273.67183708577,27970.702356467813,28689.43666822988,29427.803924437183,30185.00580559689,30961.30013046047,31496.374893224172,32043.40557936963,32603.211866523427,33175.706662069955,33760.06730864207,34355.286744180325,34959.941072508744,35573.02524479913,36194.18551532012,36823.69928545415,37462.14771308551,38110.42407268803,38769.321131368735,39439.16540687954,40120.0427470985,40812.38974606303,41516.64732853507,42233.24758523179,42962.63129843862,43705.33632417079,44462.12896685326,45233.844615607275,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935,46021.29875509935
01_AUS,8th_pulp_paper_production_projection,tonnes,14_9_pulp_paper_and_printing,3405670.596444638,3443359.942788105,3272431.0085672797,3353992.5292635853,3432977.9059094666,3511314.702648298,3591395.1325844773,3671972.291195365,3737706.015069727,3807195.044977959,3847606.4340528855,3884805.7743298835,3918602.676152883,3984163.8729802826,4048156.4084057943,4106894.3747934257,4161910.206655391,4210977.339137888,4248356.053939631,4279496.19704915,4304444.637766418,4320136.626355601,4328164.832727726,4367019.615535425,4401431.637555526,4431077.737472482,4455671.358634163,4476081.280908776,4476400.097927601,4476570.349811011,4476703.38152688,4476917.998584665,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534,4477394.458854534
01_AUS,8th_wood_production_projection,GVA millions USD,14_10_wood_and_wood_products,3565.397611,3601.0515871099997,3443.2430635132364,3528.881175224452,3618.106649766149,3710.5742416742137,3805.921043833262,3903.8723389727984,4004.3222225749805,4107.304896699021,4178.287548717476,4250.856265353486,4325.119784480307,4401.066552451126,4478.587436102344,4557.54883927002,4637.761868861443,4719.093195786554,4801.495892378605,4885.0067585152365,4969.702890203847,5055.702788625105,5143.111621721144,5231.97270511359,5322.297427323216,5414.1437066163835,5507.570035770406,5602.633735644253,5699.393280114401,5797.920020791921,5898.3156150976465,6000.690885180967,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921,6105.154012679921
01_AUS,8th_construction_production_projection,GVA millions USD,14_11_construction,144045.5359,145485.991259,139110.37321265592,142570.23633054429,146175.03240059206,149910.8131698073,153762.91683728556,157720.24455774596,161778.517685525,165939.11801712503,168806.88629016592,171738.7331184577,174739.05161798192,177807.375010155,180939.29420888063,184129.4117990233,187370.09631567064,190655.96113373223,193985.1103297676,197359.03065467364,200780.8368622346,204255.31651556035,207786.71850193825,211376.79281466806,215025.99956108062,218736.67869554463,222511.19338323083,226351.8594426677,230261.03927541387,234241.61555604727,238297.69534337602,242433.75596016733,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585,246654.1680499585
01_AUS,8th_textiles_production_projection,GVA millions USD,14_12_textiles_and_leather,2267.991092,2290.6710029200003,2190.287156626137,2244.7625604064915,2301.519927611684,2360.3396435668315,2420.990858814255,2483.2988224873507,2547.1961674845293,2612.7046501354043,2657.857544715159,2704.0193535357416,2751.259246029236,2799.569872785868,2848.881812924746,2899.110084364542,2950.134530001239,3001.870337642327,3054.287656050507,3107.4098940580557,3161.28609333636,3215.9916338714625,3271.593414220535,3328.1189879567582,3385.5755994513042,3444.0000911903408,3503.4296711131674,3563.9008016881317,3625.45067883149,3688.124690136989,3751.987501078169,3817.1096069195264,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224,3883.5598232654224
01_AUS,8th_nonspecified_production,index,14_13_nonspecified_industry,157.90730775338196,158.804005594944,146.4403062581026,153.63594995960617,156.02814547928367,158.42888499369775,160.8948476781994,163.44134036304075,166.06931380880982,168.76585144346475,171.5370600636727,174.3932942364788,177.34548183417195,180.40077079853367,183.58407564804264,186.9036928498956,190.36649045678786,193.97703758073823,197.7381948535358,201.62759428201835,205.63975730869046,209.7675649293873,214.00554888140326,218.3524619369721,222.83259421342848,227.4478573271159,232.2006527750164,237.0933102388549,242.1270876331542,247.27464375439143,252.53155344313393,257.89412329176344,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001,263.3616461758001
02_BD,8th_steel_production_projection,thousand tonnes,14_1_iron_and_steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_steel_production_projection_nz,thousand tonnes,14_1_iron_and_steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,660.5322816075652,668.1421005200946,652.8920234193853,2795.864433604863,2818.1151162134415,2838.9534164318543,6008.840914953078,6056.044027487775,6100.231825376569,6147.747244879433,6160.531740652482,6173.316236425533,6186.100732198583,6198.885227971631,6208.473599801419,6218.061971631208,6230.846467404256,6240.434839234043,6246.827087120567,6259.611582893617,6266.003830780142,6275.592202609929,6281.984450496454,6288.376698382978,6294.768946269503,6301.161194156029,6307.553442042554,6313.945689929078,6320.337937815603,6323.534061758865,6329.92630964539,6329.92630964539,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917,6336.318557531917
02_BD,8th_chemicals_production_projection_nz,thousand tonnes,14_2_chemical_incl_petrochemical,660.5322816075652,668.1421005200946,652.8920234193853,2795.305260718142,2816.4242471437137,2835.546672332136,5996.823233123172,6037.875895405311,6074.610851709987,6113.319860308109,6116.175912119784,6117.756390297704,6118.053624144398,6117.059942962405,6111.621411644517,6104.89324374752,6099.998691588767,6090.664403092425,6076.913390350887,6068.067468457073,6051.7064997674615,6037.119698910751,6018.141103575603,5997.853694917684,5976.253637588266,5953.337096238615,5929.10023552,5903.539220083688,5876.650214580947,5845.474886689895,5815.936293302184,5779.222720706241,5747.040931681448,5707.75575662475,5667.203317856546,5625.383615376835,5582.296649185618,5537.942419282895,5492.320925668665,5445.432168342929,5397.276147305686,5347.852862556937,5297.162314096681,5245.20450192492,5191.979426041652,5137.487086446877,5081.727483140596,5024.700616122809,4966.406485393515,4906.8450909527155,4846.016432800408,4783.920510936596,4720.5573253612765
