economy,item,unit,item_code_new,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
03_CDA,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,11351.1,10890.1,11220.8,11112.4,11112.4,11110.4,11972.199999999999,12112.199999999999,11721.8,11703.163824506035
03_CDA,8th_chemicals_production_projection_nz,thousand tonnes,14_2_chemical_incl_petrochemical,11351.1,10890.1,11220.8,11112.4,11112.4,11110.4,11972.199999999999,12112.199999999999,11721.8,11703.163824506035
03_CDA,8th_aluminium_production_projection,thousand tonnes,14_3_non_ferrous_metals,3030.269,2963.21,2987.964,2780.556,2969.348,2858.238,2880.035,3210.0,3210.0,2920.0
03_CDA,8th_cement_production_projection,thousand tonnes,14_4_nonmetallic_mineral_products,10985.0,12431.0,12001.0,12465.0,11612.0,11879.0,12167.0,11948.6,12123.173170673095,12198.26530304677
03_CDA,8th_cement_production_projection_nz,thousand tonnes,14_4_nonmetallic_mineral_products,10985.0,12431.0,12001.0,12465.0,11612.0,11879.0,12167.0,11948.6,12123.173170673095,12198.26530304677
03_CDA,8th_transport_production_projection,GVA millions USD,14_5_transportation_equipment,16964.5,21535.5,22414.300000000003,24297.7,24591.800000000003,25156.4,24463.1,23702.132729999998,24214.32645,24886.09973
03_CDA,8th_machinery_production_projection,GVA millions USD,14_6_machinery,10144.6,11441.6,14505.9,15257.9,14722.2,13883.2,16467.8,15935.5,16368.68,16965.34909
03_CDA,8th_mining_production_projection,GVA millions USD,14_7_mining_and_quarrying,12846.0,21205.0,28638.7,23842.4,22412.4,20526.4,18121.7,23940.24182,23564.84248,23479.11201
03_CDA,8th_food_beverage_tobacco_production_projection,GVA millions USD,14_8_food_beverages_and_tobacco,24635.9,27654.3,28681.2,29258.5,28008.1,26780.1,34051.0,32023.14909,32622.30876,33412.82018
03_CDA,8th_pulp_paper_production_projection,tonnes,14_9_pulp_paper_and_printing,33692000.0,34755000.0,33103000.0,30576000.0,31147000.0,29924000.0,29470000.0,29138000.0,28832000.0,28670700.0
03_CDA,8th_wood_production_projection,GVA millions USD,14_10_wood_and_wood_products,5345.3,6615.0,6600.8,7409.2,8531.3,7887.3,6977.1,6344.707273,6477.988099,6720.596102
03_CDA,8th_construction_production_projection,GVA millions USD,14_11_construction,92483.6,112080.9,123009.2,135090.8,138201.3,135220.8,108771.1,144249.2836,147149.4013,150259.9627
03_CDA,8th_textiles_production_projection,GVA millions USD,14_12_textiles_and_leather,2127.3,2334.4,2399.9,2271.4,2190.7,2081.8,1352.1,1475.167273,1341.093554,1224.962086
03_CDA,8th_nonspecified_production,index,14_13_nonspecified_industry,136.84930058379658,139.41860686017534,142.17553546079483,143.094822846787,144.87553647749786,147.49427940167251,147.01822796003574,147.19027556413292,150.13367677058335,151.56854458348602
04_CHL,8th_steel_production_projection,thousand tonnes,14_1_iron_and_steel,1308.0,1011.0,1615.0,1671.0,1323.0,1079.0,1112.0,1153.0,1157.524,1145.226
04_CHL,8th_steel_production_projection_nz,thousand tonnes,14_1_iron_and_steel,1308.0,1011.0,1615.0,1671.0,1323.0,1079.0,1112.0,1153.0,1157.524,1145.226
