Economy,Predicted Steel Production per capita,Year,Population,Predicted Steel Production
HKC,2.717748389793556e-05,1992,5864.745,0.15938901280299808
HKC,3.603135067305835e-05,1993,5928.33599999999,0.21360595332371568
HKC,4.744523720907081e-05,1994,5999.619000000001,0.28465334661904823
HKC,5.6920272038488094e-05,1995,6084.234,0.3463162544258186
HKC,7.102920055297004e-05,1996,6185.584,0.4393570864732426
HKC,9.00309102815626e-05,1997,6299.91199999999,0.5671868120537388
HKC,8.65501237341526e-05,1998,6416.996,0.5553917978015623
HKC,0.00010357499324666945,1999,6522.46099999999,0.6755638540266639
HKC,0.00014139307937223943,2000,6606.328,0.9340890592630479
HKC,0.00012048559984677423,2001,6664.775,0.8030094137187846
HKC,0.0001023893116042201,2002,6701.771,0.6861897192191257
HKC,9.316161066318698e-05,2003,6724.687,0.6264826721257949
HKC,0.00012216017837210743,2004,6744.563,0.8239170191219161
HKC,0.00014395475796704006,2005,6769.579000000001,0.9745131064837571
HKC,0.00016932169210280427,2006,6802.0830000000005,1.1517402033837192
HKC,0.00010870461607828792,2007,6840.017,0.7435414219539627
HKC,0.0001135882462416221,2008,6881.861,0.7816985218686157
HKC,0.00010486148272728619,2009,6924.642,0.7261282274756404
HKC,0.0001387806956183291,2010,6966.3240000000005,0.9667912906226609
HKC,0.0001476666851590681,2011,7006.598000000001,1.0346411009021563
HKC,0.00015659177731758308,2012,7046.847,1.1034782962150784
HKC,0.0001666109094671942,2013,7088.78,1.1810680828128568
HKC,0.00014717351786662413,2014,7134.668000000001,1.0500341883704316
HKC,0.00013911721843624375,2015,7185.99199999999,0.9996952187450987
HKC,0.0001552530669088962,2016,7243.541,1.124581955530333
HKC,0.00017262638733360022,2017,7306.315,1.2612627631712932
HKC,0.0001883754455165557,2018,7371.728,1.3886525462268682
INA,1.5721048217537494e-05,1990,181413.39800000002,2.85200877726532
INA,1.5724661828539127e-05,1991,184591.897,2.9026451566135263
INA,1.5724745245844657e-05,1992,187739.78600000002,2.9521603073593936
INA,1.5722459778403023e-05,1993,190851.18399999998,3.000650064100594
INA,1.572625276607393e-05,1994,193917.458,3.049594960262525
INA,1.5728906207001948e-05,1995,196934.25699999998,3.0975604572986164
INA,1.573613199040557e-05,1996,199901.23100000003,3.145672156060554
INA,1.573480348989216e-05,1997,202826.444,3.1914342388936165
INA,1.5674705601257333e-05,1998,205724.59699999998,3.2246724929123074
INA,1.5664961528922433e-05,1999,208615.171,3.2679486280645746
INA,1.5628703568592092e-05,2000,211513.822,3.3056868246979523
INA,1.5676336854525028e-05,2001,214427.419,3.36143645109038
INA,1.5673525969981938e-05,2002,217357.79,3.4067629663428804
INA,1.5639819089946823e-05,2003,220309.473,3.445600301521524
INA,1.5629299020195973e-05,2004,223285.66600000003,3.4897984408376055
INA,1.561669451708782e-05,2005,226289.468,3.5338934941903197
INA,1.5609291574514745e-05,2006,229318.262,3.5794956149189647
INA,1.5599050876240254e-05,2007,232374.23899999997,3.6248175764886117
INA,1.5597110447543618e-05,2008,235469.755,3.6726477757910363
INA,1.557673887707325e-05,2009,238620.55399999997,3.716930060360556
INA,1.553511506844968e-05,2010,241834.22600000002,3.7569225283994654
